"video_name","emoji_code","pid_1","pid_1_match_rating","pid_1_timestamp","pid_2","pid_2_match_rating","pid_2_timestamp","pid_3","pid_3_match_rating","pid_3_timestamp","variant"
"AF_Y_004--ec8fee8a-ee4c-4a3e-b200-2e02e527f4c3_1f612.mp4","1f612","33d279bb-e726-4f72-a7a2-ebd1c5c64285","2","2025-06-03T02:06:29.261Z","e0c1d08a-666a-4307-b39d-9436e9a2c468","0","2025-06-03T06:05:36.403Z","ffa4d79e-4465-4e00-933f-958d2e999b0b","2","2025-06-03T23:15:24.203Z","AF_Y_004"
"AF_Y_005--92d2d3e8-2c6f-4053-83e5-79de5f7fc6ec_1f611.mp4","1f611","f975f711-85fe-4d7a-80a9-3624630d9361","3","2025-06-06T04:22:49.676Z","ff65e85e-3577-4523-b6f3-b7daaa686a61","3","2025-06-12T06:27:16.964Z","80ab7bf1-ec9b-415e-aa45-d18e8440279e","3","2025-07-26T18:22:06.194Z","AF_Y_005"
"AF_Y_007--2a4be810-a53e-4549-8276-d1299e449b04_1f929.mp4","1f929","2f08530a-491d-4073-83a1-cef5f4a649e3","1","2025-06-05T06:58:46.905Z","8530ca48-be94-4f9e-9e42-bde3cfbedbeb","0","2025-06-08T08:02:29.892Z","d1f29575-eebe-4ed4-b0bc-12a2b65a4207","1","2025-07-24T06:01:06.957Z","AF_Y_007"
"AF_Y_004--669bbf99-c9e0-4a41-ab78-651a7e1f177e_1f914.mp4","1f914","53d6e0bf-cfc5-4173-9e4a-222606f9ec1b","3","2025-06-09T19:35:31.422Z","9fba1e97-4236-4df2-a2ff-9a43f36a599f","2","2025-06-18T23:25:18.904Z","4a338181-e2aa-447c-b5e5-de2858e14bd6","3","2025-07-28T19:22:49.178Z","AF_Y_004"
"AF_Y_008--5ed5db40-feb0-4098-abdf-f9a9b4bb7b88_1f62e.mp4","1f62e","ebe7bd6d-9979-45c4-bd41-ba242df10f1b","0","2025-06-26T04:39:05.576Z","fb21b9b5-f243-44e6-87f0-dbf3b9d318f2","2","2025-07-17T01:55:33.590Z","4c16670e-8043-4442-9e1c-22af8bfbcdf1","0","2025-07-30T06:54:20.439Z","AF_Y_008"
"AF_Y_007--a7a9bdf4-1296-4c53-b257-b42bd10d5528_1f624.mp4","1f624","e5c7c259-61b8-4f5b-b75f-d71ca5ea0ce0","0","2025-06-10T03:26:54.294Z","abacbf48-3777-4dc0-875f-8960c69f40f3","0","2025-06-17T05:53:14.166Z","1048fed2-3a2e-4987-ba40-b600cfe41f12","0","2025-07-26T19:50:26.289Z","AF_Y_007"
"LF_Y_001--3bde0305-5f4a-408c-bf09-db287f45592d_1f914.mp4","1f914","f5703527-73bd-4857-8592-1ecc378ed1f3","1","2025-06-06T05:18:21.486Z","90f5fb5b-3c6e-44df-b2e6-ffc376cfacec","2","2025-06-07T04:16:58.950Z","3377d563-2ebe-4ace-affb-cbefd501ff3d","2","2025-07-25T03:38:00.904Z","LF_Y_001"
"LF_Y_002--7e07a849-a8e3-4bd3-908c-11b334cd1f33_1f605.mp4","1f605","81390fb0-5316-43d8-862c-c08167cdb46e","2","2025-06-03T07:38:36.183Z","c3f0a17e-1f66-4c24-bc2e-9d425fc26c79","1","2025-06-04T17:40:34.526Z","2f401d4a-819f-4caf-a781-0b4afc082c23","0","2025-07-24T04:17:05.781Z","LF_Y_002"
"WF_Y_001--e4b5fda6-b534-4f23-a97b-0f311250edf2_1f914.mp4","1f914","50bbe260-927d-4558-a2e6-7baabad0c9c5","1","2025-06-10T22:44:01.275Z","904d8e54-4ac8-47db-bc87-dffcc0bb61bd","2","2025-06-11T22:14:11.803Z","","","","WF_Y_001"
"WF_Y_006--bfcff2ec-d9aa-4932-b9f9-271a4076d808_1f60a.mp4","1f60a","13336882-0875-4807-9519-4f04bd398f80","2","2025-06-03T16:34:58.048Z","20505aee-acca-478a-962e-09dfb41e2ec3","3","2025-06-15T17:29:59.171Z","","","","WF_Y_006"
"WF_Y_004--d1c47015-bcc9-4ecc-8b10-10842c2132b3_1f608.mp4","1f608","e0c1d08a-666a-4307-b39d-9436e9a2c468","0","2025-06-03T06:06:52.705Z","bf928e1d-9692-4bff-a0ae-6dc43654962e","1","2025-06-04T14:55:00.001Z","682b0f71-a8a9-41b2-873d-77ecf5fa1ce0","3","2025-06-06T07:16:21.420Z","WF_Y_004"
"LF_Y_002--425bfe20-df9f-40d6-bfc5-305c26af5917_1f618.mp4","1f618","13336882-0875-4807-9519-4f04bd398f80","3","2025-06-03T16:35:59.150Z","9aedce79-0c19-40df-a040-9032705ff879","3","2025-06-03T22:20:31.311Z","073a08f5-bfa3-4ed4-bb81-7158d86020d5","2","2025-06-04T04:47:08.893Z","LF_Y_002"
"LF_Y_002--30408fa1-fe9b-4554-a24d-483c9958e798_1f624.mp4","1f624","7d5d0c18-9f6d-4c49-9db0-acf6829618e6","1","2025-06-10T18:33:34.160Z","5ffa7e31-122d-4948-88e1-b8be844b8839","0","2025-06-12T19:58:15.712Z","82c2d001-399e-462b-bef8-77842854cd68","1","2025-07-29T18:35:08.626Z","LF_Y_002"
"AF_Y_009--2bf66241-d18f-4037-835d-d2a9d9bdab9d_1f979.mp4","1f979","e7f8029c-fc8c-4d16-8dc7-6f4a9b2d6345","1","2025-06-14T00:57:18.291Z","1e22353c-e2f8-4fcb-a527-cc7600056449","1","2025-07-22T23:12:13.690Z","","","","AF_Y_009"
"AF_Y_004--a7a9bdf4-1296-4c53-b257-b42bd10d5528_1f607.mp4","1f607","8638822c-ba6b-42f9-a5de-dd639d6c6dbf","1","2025-06-08T21:14:35.097Z","904d8e54-4ac8-47db-bc87-dffcc0bb61bd","0","2025-06-11T22:16:55.395Z","c7f83a88-d6fe-481c-9c17-f8d53dbce035","0","2025-07-24T03:53:39.664Z","AF_Y_004"
