"video_name","emoji_code","pid_1","pid_1_jitteryFlag","pid_1_rank1","pid_1_rank2","pid_1_ratings","pid_1_timestamp","pid_2","pid_2_jitteryFlag","pid_2_rank1","pid_2_rank2","pid_2_ratings","pid_2_timestamp","pid_3","pid_3_jitteryFlag","pid_3_rank1","pid_3_rank2","pid_3_ratings","pid_3_timestamp","pid_4","pid_4_jitteryFlag","pid_4_rank1","pid_4_rank2","pid_4_ratings","pid_4_timestamp","variant"
"AF_Y_004--ec8fee8a-ee4c-4a3e-b200-2e02e527f4c3_1f612.mp4","1f612","905d7461-52f5-4737-9b41-ff1c7af28953","false","Disgust","Judgmental","""{""""Annoyed"""":2,""""Disgust"""":3,""""Judgmental"""":2,""""Side eye"""":0,""""Unimpressed"""":1}""","2025-06-03T06:16:39.161Z","13336882-0875-4807-9519-4f04bd398f80","false","Judgmental","Side eye","""{""""Annoyed"""":1,""""Disgust"""":2,""""Judgmental"""":3,""""Side eye"""":3,""""Unimpressed"""":1}""","2025-06-03T16:22:43.678Z","073a08f5-bfa3-4ed4-bb81-7158d86020d5","false","Disgust","Unimpressed","""{""""Annoyed"""":1,""""Disgust"""":2,""""Judgmental"""":1,""""Side eye"""":1,""""Unimpressed"""":3}""","2025-06-04T04:43:49.407Z","","","","","","","AF_Y_004"
"AF_Y_005--92d2d3e8-2c6f-4053-83e5-79de5f7fc6ec_1f611.mp4","1f611","50bbe260-927d-4558-a2e6-7baabad0c9c5","false","Annoyed","Disappointed","""{""""Annoyed"""":2,""""Bored"""":0,""""Disappointed"""":2,""""Neutral"""":0,""""Unimpressed"""":1}""","2025-06-10T22:35:19.650Z","7904d884-38c0-4427-bbb3-d1ced5c2fddf","false","Unimpressed","Disappointed","""{""""Annoyed"""":2,""""Bored"""":2,""""Disappointed"""":3,""""Neutral"""":2,""""Unimpressed"""":3}""","2025-06-12T03:26:28.586Z","1048fed2-3a2e-4987-ba40-b600cfe41f12","false","None","None","""{""""Annoyed"""":0,""""Bored"""":0,""""Disappointed"""":0,""""Neutral"""":0,""""Unimpressed"""":0}""","2025-07-26T19:42:10.510Z","","","","","","","AF_Y_005"
"AF_Y_007--2a4be810-a53e-4549-8276-d1299e449b04_1f929.mp4","1f929","968746ea-b16b-42b8-bd5f-4938d61abdd0","false","Surprised","Amazed","""{""""Amazed"""":0,""""Awestruck"""":0,""""Excited"""":0,""""Surprised"""":3}""","2025-06-05T05:23:14.502Z","5ffa7e31-122d-4948-88e1-b8be844b8839","false","Surprised","Amazed","""{""""Amazed"""":2,""""Awestruck"""":1,""""Excited"""":1,""""Surprised"""":3}""","2025-06-12T04:49:01.381Z","f111ce48-a478-4175-afae-df50870529fb","false","None","None","""{""""Amazed"""":0,""""Awestruck"""":0,""""Excited"""":0,""""Surprised"""":0}""","2025-07-29T17:07:36.015Z","","","","","","","AF_Y_007"
"AF_Y_004--669bbf99-c9e0-4a41-ab78-651a7e1f177e_1f914.mp4","1f914","bf928e1d-9692-4bff-a0ae-6dc43654962e","false","Curious","Pondering","""{""""Confused"""":2,""""Curious"""":3,""""Pondering"""":3,""""Thinking"""":2}""","2025-06-04T14:49:46.461Z","362296e5-8034-4643-9d04-29e417e04397","false","None","None","""{""""Confused"""":0,""""Curious"""":0,""""Pondering"""":0,""""Thinking"""":0}""","2025-07-10T17:19:52.753Z","","","","","","","","","","","","","AF_Y_004"
"AF_Y_008--5ed5db40-feb0-4098-abdf-f9a9b4bb7b88_1f62e.mp4","1f62e","f73db208-48e4-4aa5-9ab9-b8f2620d0413","false","None","None","""{""""Exhausted"""":1,""""Impressed"""":1,""""Relieved"""":1,""""Smoking"""":1}""","2025-07-18T02:02:02.190Z","235242fa-e467-414b-a998-acf6dcc074a5","false","Relieved","None","""{""""Exhausted"""":0,""""Impressed"""":1,""""Relieved"""":0,""""Smoking"""":0}""","2025-07-21T19:19:07.591Z","","","","","","","","","","","","","AF_Y_008"
"AF_Y_007--a7a9bdf4-1296-4c53-b257-b42bd10d5528_1f624.mp4","1f624","17c40a97-8017-42c8-839f-226a0bf095a5","false","Annoyed","Furious","""{""""Angry"""":0,""""Annoyed"""":3,""""Frustrated"""":1,""""Furious"""":1}""","2025-06-10T01:23:06.395Z","50bbe260-927d-4558-a2e6-7baabad0c9c5","false","Annoyed","Angry","""{""""Angry"""":1,""""Annoyed"""":2,""""Frustrated"""":0,""""Furious"""":0}""","2025-06-10T22:32:13.238Z","de7a38db-8d97-4ec8-8acf-5c288d13a8c7","false","Annoyed","Frustrated","""{""""Angry"""":0,""""Annoyed"""":3,""""Frustrated"""":3,""""Furious"""":0}""","2025-07-28T03:37:53.933Z","","","","","","","AF_Y_007"
"LF_Y_001--3bde0305-5f4a-408c-bf09-db287f45592d_1f914.mp4","1f914","53d6e0bf-cfc5-4173-9e4a-222606f9ec1b","false","Thinking","Pondering","""{""""Confused"""":2,""""Curious"""":1,""""Pondering"""":3,""""Thinking"""":3}""","2025-06-09T19:27:44.551Z","ff65e85e-3577-4523-b6f3-b7daaa686a61","false","Pondering","Thinking","""{""""Confused"""":1,""""Curious"""":1,""""Pondering"""":3,""""Thinking"""":3}""","2025-06-12T05:14:03.015Z","350c9afa-274a-4c4c-b999-b5357b9521ba","false","Curious","Confused","""{""""Confused"""":2,""""Curious"""":2,""""Pondering"""":1,""""Thinking"""":1}""","2025-07-27T03:22:01.734Z","","","","","","","LF_Y_001"
"LF_Y_002--7e07a849-a8e3-4bd3-908c-11b334cd1f33_1f605.mp4","1f605","13336882-0875-4807-9519-4f04bd398f80","false","Awkward","Happy","""{""""Awkward"""":3,""""Embarrassed"""":2,""""Happy"""":3,""""Nervous"""":2,""""Relieved"""":2}""","2025-06-03T16:32:01.747Z","868e9314-6e23-4f3e-ab58-584674c36458","false","Awkward","Happy","""{""""Awkward"""":2,""""Embarrassed"""":1,""""Happy"""":1,""""Nervous"""":1,""""Relieved"""":0}""","2025-06-09T16:10:18.134Z","33becb1e-cb27-42fc-b639-41f034ec9a32","false","Awkward","None","""{""""Awkward"""":2,""""Embarrassed"""":1,""""Happy"""":0,""""Nervous"""":2,""""Relieved"""":0}""","2025-07-28T21:07:19.753Z","","","","","","","LF_Y_002"
"WF_Y_001--e4b5fda6-b534-4f23-a97b-0f311250edf2_1f914.mp4","1f914","00ee9184-100b-4b8c-ab76-0db00725c083","false","Curious","Confused","""{""""Confused"""":2,""""Curious"""":2,""""Pondering"""":1,""""Thinking"""":2}""","2025-06-02T23:47:43.601Z","ee6cc125-fe53-44fe-918c-3a6231080394","false","Confused","Thinking","""{""""Confused"""":2,""""Curious"""":1,""""Pondering"""":2,""""Thinking"""":2}""","2025-06-12T08:39:34.290Z","","","","","","","","","","","","","WF_Y_001"
"WF_Y_006--bfcff2ec-d9aa-4932-b9f9-271a4076d808_1f60a.mp4","1f60a","5ffa7e31-122d-4948-88e1-b8be844b8839","false","Blushing","Happy","""{""""Blushing"""":3,""""Content"""":0,""""Happy"""":2}""","2025-06-12T19:18:51.136Z","9daa3c77-8c31-4580-8a6a-e55eab1eabf4","false","Happy","Blushing","""{""""Blushing"""":3,""""Content"""":1,""""Happy"""":3}""","2025-06-15T00:51:53.055Z","80ab7bf1-ec9b-415e-aa45-d18e8440279e","false","Happy","Blushing","""{""""Blushing"""":3,""""Content"""":1,""""Happy"""":3}""","2025-07-26T18:08:08.587Z","","","","","","","WF_Y_006"
